particle_size,concentration,absorbance
bulk,2.5,0.000288
bulk,2.5,0.00165
bulk,2.5,0.0151
bulk,2.5,0.0000783
bulk,2.5,0.0029
bulk,2.5,0.0225
nano,2.5,0.00247
nano,2.5,0.00381
nano,2.5,0.0305
nano,2.5,0.00913
nano,2.5,0.0133
nano,2.5,0.00629
bulk,1,0.00322
bulk,1,0.0262
bulk,1,0.038
bulk,1,0.000314
bulk,1,0.00523
bulk,1,0.288
nano,1,0.00122
nano,1,0.00893
nano,1,0.154
nano,1,0.0168
nano,1,0.0356
nano,1,0.285
bulk,0.5,0.03
bulk,0.5,0.668
bulk,0.5,0.359
bulk,0.5,0.095
bulk,0.5,0.0287
bulk,0.5,0.231
nano,0.5,0.00234
nano,0.5,0.0958
nano,0.5,0.636
nano,0.5,0.033
nano,0.5,0.0937
nano,0.5,0.692
bulk,0.25,0.0505
bulk,0.25,0.0925
bulk,0.25,1.7
bulk,0.25,0.305
bulk,0.25,0.047
bulk,0.25,1.32
nano,0.25,0.05
nano,0.25,0.0968
nano,0.25,0.252
nano,0.25,0.0365
nano,0.25,0.116
nano,0.25,0.872
