species_richness,forest,month
5,Coniferous,6
5,Coniferous,6
4,Coniferous,6
6,Coniferous,6
4,Coniferous,6
5,Coniferous,6
12,Deciduous,6
12,Deciduous,6
11,Deciduous,6
13,Deciduous,6
13,Deciduous,6
11,Deciduous,6
7,Coniferous,7
8,Coniferous,7
7,Coniferous,7
6,Coniferous,7
7,Coniferous,7
6,Coniferous,7
16,Deciduous,7
16,Deciduous,7
14,Deciduous,7
15,Deciduous,7
16,Deciduous,7
15,Deciduous,7
8,Coniferous,8
9,Coniferous,8
9,Coniferous,8
10,Coniferous,8
9,Coniferous,8
8,Coniferous,8
17,Deciduous,8
17,Deciduous,8
16,Deciduous,8
18,Deciduous,8
17,Deciduous,8
19,Deciduous,8
